lat,lon,SST_avg,SSS_avg
-39.5,80.5,2.33614285714286,-0.328428571428571
-39.5,81.5,2.33542857142857,-0.326071428571429
-39.5,82.5,2.34107142857143,-0.323928571428572
-39.5,83.5,2.34642857142857,-0.321714285714286
-39.5,84.5,2.34907142857143,-0.319642857142857
-39.5,85.5,2.35285714285714,-0.315857142857143
-39.5,86.5,2.358,-0.311928571428571
-39.5,87.5,2.36628571428571,-0.308357142857143
-39.5,88.5,2.37592857142857,-0.304071428571429
-39.5,89.5,2.38692857142857,-0.300142857142857
-39.5,90.5,2.39857142857143,-0.296642857142857
-39.5,91.5,2.40907142857143,-0.293285714285714
-39.5,92.5,2.42007142857143,-0.289642857142857
-39.5,93.5,2.43707142857143,-0.287428571428571
-39.5,94.5,2.4555,-0.285285714285714
-39.5,95.5,2.476,-0.282
-39.5,96.5,2.50207142857143,-0.279
-39.5,97.5,2.53414285714286,-0.274928571428571
-39.5,98.5,2.56407142857143,-0.269714285714286
-39.5,99.5,2.5895,-0.265214285714286
-39.5,100.5,2.60842857142857,-0.2605
-39.5,101.5,2.6225,-0.254285714285714
-39.5,102.5,2.63021428571429,-0.248142857142857
-39.5,103.5,2.63821428571429,-0.241928571428571
-39.5,104.5,2.64335714285714,-0.236642857142857
-39.5,105.5,2.64692857142857,-0.231571428571429
-39.5,106.5,2.64871428571429,-0.227142857142857
-39.5,107.5,2.64985714285714,-0.223142857142857
-39.5,108.5,2.6515,-0.221071428571429
-39.5,109.5,2.64585714285714,-0.22
-39.5,110.5,2.63092857142857,-0.218214285714286
-39.5,111.5,2.60814285714286,-0.219
-39.5,112.5,2.58528571428571,-0.220357142857143
-39.5,113.5,2.54228571428571,-0.220214285714286
-39.5,114.5,2.507,-0.222071428571429
-39.5,115.5,2.48235714285714,-0.223428571428571
-39.5,116.5,2.47307142857143,-0.222142857142857
-39.5,117.5,2.46635714285714,-0.223928571428571
-39.5,118.5,2.46378571428571,-0.225142857142857
-39.5,119.5,2.46442857142857,-0.223928571428571
-39.5,120.5,2.47328571428571,-0.223
-39.5,121.5,2.48142857142857,-0.222857142857143
-39.5,122.5,2.49507142857143,-0.222642857142857
-39.5,123.5,2.50935714285714,-0.221357142857143
-39.5,124.5,2.52307142857143,-0.219714285714286
-39.5,125.5,2.53128571428571,-0.219928571428571
-39.5,126.5,2.53378571428571,-0.217642857142857
-39.5,127.5,2.53621428571429,-0.214785714285714
-39.5,128.5,2.53357142857143,-0.213142857142857
-39.5,129.5,2.52721428571429,-0.210642857142857
-39.5,130.5,2.52257142857143,-0.206571428571429
-39.5,131.5,2.52078571428571,-0.201928571428571
-39.5,132.5,2.51964285714286,-0.1955
-39.5,133.5,2.51392857142857,-0.186214285714286
-39.5,134.5,2.514,-0.1785
-39.5,135.5,2.51142857142857,-0.170785714285714
-39.5,136.5,2.50542857142857,-0.165642857142857
-39.5,137.5,2.49364285714286,-0.165357142857143
-39.5,153.5,2.208,-0.271714285714286
-39.5,154.5,2.18242857142857,-0.261071428571429
-39.5,155.5,2.1335,-0.261928571428571
-39.5,156.5,2.08621428571429,-0.266714285714286
-39.5,157.5,2.06378571428571,-0.266214285714286
-39.5,158.5,2.07142857142857,-0.268285714285714
-39.5,159.5,2.07914285714286,-0.270928571428571
-39.5,160.5,2.07571428571429,-0.270642857142857
-39.5,161.5,2.06128571428571,-0.269785714285714
-39.5,162.5,2.03157142857143,-0.269357142857143
-39.5,163.5,2.01257142857143,-0.266928571428571
-39.5,164.5,1.99521428571429,-0.262428571428571
-39.5,165.5,1.98192857142857,-0.254857142857143
-39.5,166.5,1.96264285714286,-0.252714285714286
-39.5,167.5,1.92842857142857,-0.261071428571429
-39.5,168.5,1.89428571428571,-0.266714285714286
-39.5,169.5,1.84578571428571,-0.266857142857143
-39.5,181.5,2.08907142857143,-0.257928571428571
-39.5,182.5,2.09521428571429,-0.240642857142857
-39.5,183.5,2.139,-0.231642857142857
-39.5,184.5,2.16728571428571,-0.226785714285714
-39.5,185.5,2.1765,-0.217571428571429
-39.5,186.5,2.18178571428571,-0.2055
-39.5,187.5,2.20378571428571,-0.192642857142857
-39.5,188.5,2.20192857142857,-0.180857142857143
-39.5,189.5,2.19207142857143,-0.168428571428571
-39.5,190.5,2.17921428571429,-0.159142857142857
-39.5,191.5,2.17007142857143,-0.152428571428571
-39.5,192.5,2.15935714285714,-0.146214285714286
-39.5,193.5,2.14778571428571,-0.140428571428571
-39.5,194.5,2.13692857142857,-0.136785714285714
-39.5,195.5,2.12842857142857,-0.134714285714286
-39.5,196.5,2.12014285714286,-0.133357142857143
-39.5,197.5,2.11642857142857,-0.133071428571429
-39.5,198.5,2.12064285714286,-0.132714285714286
-39.5,199.5,2.12435714285714,-0.132642857142857
-39.5,200.5,2.12471428571429,-0.133
-39.5,201.5,2.12428571428571,-0.132785714285714
-39.5,202.5,2.12271428571429,-0.1325
-39.5,203.5,2.11942857142857,-0.131428571428571
-39.5,204.5,2.11421428571429,-0.131571428571429
-39.5,205.5,2.10521428571429,-0.131785714285714
-39.5,206.5,2.09271428571429,-0.132
-39.5,207.5,2.0825,-0.132571428571429
-39.5,208.5,2.07685714285714,-0.133928571428571
-39.5,209.5,2.07121428571429,-0.135357142857143
-39.5,210.5,2.06585714285714,-0.137142857142857
-39.5,211.5,2.06085714285714,-0.138714285714286
-39.5,212.5,2.05821428571429,-0.140428571428571
-39.5,213.5,2.05421428571429,-0.142214285714286
-39.5,214.5,2.04935714285714,-0.144714285714286
-39.5,215.5,2.04542857142857,-0.146714285714286
-39.5,216.5,2.042,-0.148714285714286
-39.5,217.5,2.03842857142857,-0.150428571428571
-39.5,218.5,2.03557142857143,-0.152642857142857
-39.5,219.5,2.03535714285714,-0.154928571428571
-39.5,220.5,2.03507142857143,-0.156857142857143
-39.5,221.5,2.0345,-0.157785714285714
-39.5,222.5,2.03385714285714,-0.158928571428571
-39.5,223.5,2.03385714285714,-0.159857142857143
-39.5,224.5,2.03278571428571,-0.160357142857143
-39.5,225.5,2.03157142857143,-0.160428571428571
-39.5,226.5,2.03064285714286,-0.159857142857143
-39.5,227.5,2.0305,-0.159785714285714
-39.5,228.5,2.03057142857143,-0.159571428571429
-39.5,229.5,2.03,-0.159
-39.5,230.5,2.02978571428571,-0.158571428571429
-39.5,231.5,2.03057142857143,-0.157714285714286
-39.5,232.5,2.0335,-0.157642857142857
-39.5,233.5,2.03657142857143,-0.157142857142857
-39.5,234.5,2.04,-0.157285714285714
-39.5,235.5,2.04492857142857,-0.158
-39.5,236.5,2.05142857142857,-0.158071428571429
-39.5,237.5,2.05764285714286,-0.158571428571429
-39.5,238.5,2.062,-0.159714285714286
-39.5,239.5,2.06471428571429,-0.161071428571429
-39.5,240.5,2.06642857142857,-0.1625
-39.5,241.5,2.06764285714286,-0.164785714285714
-39.5,242.5,2.06871428571429,-0.167071428571429
-39.5,243.5,2.07535714285714,-0.168928571428571
-39.5,244.5,2.08785714285714,-0.170642857142857
-39.5,245.5,2.10092857142857,-0.171857142857143
-39.5,246.5,2.11164285714286,-0.172571428571429
-39.5,247.5,2.117,-0.173285714285714
-39.5,248.5,2.12071428571429,-0.174357142857143
-39.5,249.5,2.12785714285714,-0.175357142857143
-39.5,250.5,2.13521428571429,-0.176214285714286
-39.5,251.5,2.14207142857143,-0.176785714285714
-39.5,252.5,2.14885714285714,-0.176857142857143
-39.5,253.5,2.15728571428571,-0.176857142857143
-39.5,254.5,2.16371428571429,-0.176857142857143
-39.5,255.5,2.16871428571429,-0.176857142857143
-39.5,256.5,2.17171428571429,-0.177214285714286
-39.5,257.5,2.17528571428571,-0.177214285714286
-39.5,258.5,2.17621428571429,-0.177928571428571
-39.5,259.5,2.17392857142857,-0.179071428571429
-39.5,260.5,2.17,-0.180214285714286
-39.5,261.5,2.16578571428571,-0.181214285714286
-39.5,262.5,2.16821428571429,-0.182
-39.5,263.5,2.17207142857143,-0.182214285714286
-39.5,264.5,2.176,-0.182357142857143
-39.5,265.5,2.18178571428571,-0.182214285714286
-39.5,266.5,2.1865,-0.182071428571429
-39.5,267.5,2.18857142857143,-0.181785714285714
-39.5,268.5,2.18578571428571,-0.1815
-39.5,269.5,2.183,-0.180928571428571
-38.5,80.5,2.30635714285714,-0.356357142857143
-38.5,81.5,2.30714285714286,-0.351642857142857
-38.5,82.5,2.31442857142857,-0.346642857142857
-38.5,83.5,2.325,-0.340857142857143
-38.5,84.5,2.332,-0.334928571428571
-38.5,85.5,2.33878571428571,-0.327857142857143
-38.5,86.5,2.347,-0.320928571428571
-38.5,87.5,2.35992857142857,-0.314857142857143
-38.5,88.5,2.37271428571429,-0.308571428571429
-38.5,89.5,2.38635714285714,-0.302928571428571
-38.5,90.5,2.40121428571429,-0.297785714285714
-38.5,91.5,2.4155,-0.292642857142857
-38.5,92.5,2.42964285714286,-0.287642857142857
-38.5,93.5,2.45235714285714,-0.283142857142857
-38.5,94.5,2.47778571428571,-0.278714285714286
-38.5,95.5,2.50478571428571,-0.272857142857143
-38.5,96.5,2.53235714285714,-0.266928571428571
-38.5,97.5,2.56178571428571,-0.260428571428571
-38.5,98.5,2.58128571428571,-0.2535
-38.5,99.5,2.59535714285714,-0.2475
-38.5,100.5,2.60392857142857,-0.241857142857143
-38.5,101.5,2.61007142857143,-0.235071428571429
-38.5,102.5,2.61314285714286,-0.228642857142857
-38.5,103.5,2.61742857142857,-0.222142857142857
-38.5,104.5,2.6215,-0.216714285714286
-38.5,105.5,2.62578571428571,-0.212428571428571
-38.5,106.5,2.62878571428571,-0.208857142857143
-38.5,107.5,2.62278571428571,-0.206642857142857
-38.5,108.5,2.61178571428571,-0.208
-38.5,109.5,2.59378571428571,-0.210214285714286
-38.5,110.5,2.56614285714286,-0.209857142857143
-38.5,111.5,2.53114285714286,-0.210571428571429
-38.5,112.5,2.49528571428571,-0.213214285714286
-38.5,113.5,2.43321428571429,-0.216142857142857
-38.5,114.5,2.38964285714286,-0.218928571428571
-38.5,115.5,2.3675,-0.219714285714286
-38.5,116.5,2.36835714285714,-0.216428571428571
-38.5,117.5,2.37507142857143,-0.217214285714286
-38.5,118.5,2.38264285714286,-0.217857142857143
-38.5,119.5,2.39257142857143,-0.213714285714286
-38.5,120.5,2.41092857142857,-0.211357142857143
-38.5,121.5,2.42721428571429,-0.2105
-38.5,122.5,2.44871428571429,-0.210642857142857
-38.5,123.5,2.46721428571429,-0.207285714285714
-38.5,124.5,2.48014285714286,-0.204142857142857
-38.5,125.5,2.488,-0.2045
-38.5,126.5,2.48907142857143,-0.202285714285714
-38.5,127.5,2.48985714285714,-0.199428571428571
-38.5,128.5,2.48357142857143,-0.198857142857143
-38.5,129.5,2.47521428571429,-0.196
-38.5,130.5,2.47121428571429,-0.190571428571429
-38.5,131.5,2.47257142857143,-0.183928571428571
-38.5,132.5,2.47564285714286,-0.175785714285714
-38.5,133.5,2.478,-0.166642857142857
-38.5,134.5,2.47385714285714,-0.16
-38.5,153.5,2.25492857142857,-0.288142857142857
-38.5,154.5,2.25892857142857,-0.270928571428571
-38.5,155.5,2.24921428571429,-0.263
-38.5,156.5,2.21971428571429,-0.261214285714286
-38.5,157.5,2.19571428571429,-0.261357142857143
-38.5,158.5,2.176,-0.263857142857143
-38.5,159.5,2.165,-0.266214285714286
-38.5,160.5,2.15378571428571,-0.2645
-38.5,161.5,2.13642857142857,-0.262714285714286
